STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
UTTARAKHAND,NANAK MATTA,DR. PREM SINGH,BHARATIYA JANATA PARTY,42785
UTTARAKHAND,NANAK MATTA,GOPAL SINGH RANA,INDIAN NATIONAL CONGRESS,33254
UTTARAKHAND,NANAK MATTA,SHISH RAM RANA,BAHUJAN SAMAJ PARTY,3174
UTTARAKHAND,NANAK MATTA,SUNEETA RANA,INDEPENDENT,1305
UTTARAKHAND,NANAK MATTA,RITA WATI,INDEPENDENT,899
UTTARAKHAND,NANAK MATTA,MAHESH CHANDRA,INDEPENDENT,386
UTTARAKHAND,NANAK MATTA,ANSUIYA,SAMAJWADI PARTY,228
UTTARAKHAND,NANAK MATTA,NONE OF THE ABOVE,NONE OF THE ABOVE,808
UTTARAKHAND,SITARGANJ,SAURABH BAHUGUNA,BHARATIYA JANATA PARTY,50597
UTTARAKHAND,SITARGANJ,MALTI BISWAS,INDIAN NATIONAL CONGRESS,22147
UTTARAKHAND,SITARGANJ,NAVTEJ PAL SINGH,BAHUJAN SAMAJ PARTY,11892
UTTARAKHAND,SITARGANJ,YOGENDRA KUMAR YADAV,SAMAJWADI PARTY,811
UTTARAKHAND,SITARGANJ,BINDA BISWAS,INDEPENDENT,437
UTTARAKHAND,SITARGANJ,MOBEEN ALI,INDEPENDENT,400
UTTARAKHAND,SITARGANJ,ABDUL VAHEED,INDEPENDENT,178
UTTARAKHAND,SITARGANJ,AKHTAYAR AHAMAD,INDEPENDENT,155
UTTARAKHAND,SITARGANJ,HEM CHANDRA,UTTARAKHAND KRANTI DAL,136
UTTARAKHAND,SITARGANJ,RAGHUVIR,BHARATIYA SUBHASH SENA,127
UTTARAKHAND,SITARGANJ,NONE OF THE ABOVE,NONE OF THE ABOVE,580
UTTARAKHAND,KICHHA,RAJESH SHUKLA,BHARATIYA JANATA PARTY,40363
UTTARAKHAND,KICHHA,HARISH RAWAT,INDIAN NATIONAL CONGRESS,38236
UTTARAKHAND,KICHHA,RAJESH PRATAP SINGH,BAHUJAN SAMAJ PARTY,7754
UTTARAKHAND,KICHHA,SANJAY SINGH,SAMAJWADI PARTY,459
UTTARAKHAND,KICHHA,MOHD. JALEES,INDEPENDENT,405
UTTARAKHAND,KICHHA,SANJAY GROVER,INDEPENDENT,254
UTTARAKHAND,KICHHA,ANIL KUMAR SHARMA,INDEPENDENT,149
UTTARAKHAND,KICHHA,NONE OF THE ABOVE,NONE OF THE ABOVE,558
UTTARAKHAND,RUDRAPUR,RAJKUMAR THUKRAL,BHARATIYA JANATA PARTY,68754
UTTARAKHAND,RUDRAPUR,TILAK RAJ BEHAR,INDIAN NATIONAL CONGRESS,43983
UTTARAKHAND,RUDRAPUR,JASWANT SINGH,BAHUJAN SAMAJ PARTY,1471
UTTARAKHAND,RUDRAPUR,B.D.KANDPAL,UTTARAKHAND KRANTI DAL,427
UTTARAKHAND,RUDRAPUR,SANJAY SAHNI,INDEPENDENT,420
UTTARAKHAND,RUDRAPUR,HIMAN SINGH NEGI,INDEPENDENT,332
UTTARAKHAND,RUDRAPUR,SURENDRA UPADHYAY,INDEPENDENT,249
UTTARAKHAND,RUDRAPUR,VINOD KUMAR,SAMAJWADI PARTY,188
UTTARAKHAND,RUDRAPUR,KAILASH CHANDRA,INDEPENDENT,132
UTTARAKHAND,RUDRAPUR,SURENDRA SINGHAL,RASHTRIYA LOK DAL,107
UTTARAKHAND,RUDRAPUR,MANPREET SINGH,INDEPENDENT,94
UTTARAKHAND,RUDRAPUR,NONE OF THE ABOVE,NONE OF THE ABOVE,596
UTTARAKHAND,GADARPUR,ARVIND PANDEY,BHARATIYA JANATA PARTY,41530
UTTARAKHAND,GADARPUR,RAJENDRA PAL SINGH,INDIAN NATIONAL CONGRESS,27424
UTTARAKHAND,GADARPUR,JARNAIL SINGH (KALI),BAHUJAN SAMAJ PARTY,26115
UTTARAKHAND,GADARPUR,SHANKAR SINGH NAGARKOTI,INDEPENDENT,835
UTTARAKHAND,GADARPUR,SHAHEROOM,SAMAJWADI PARTY,807
UTTARAKHAND,GADARPUR,PARAMJEET KAUR,INDEPENDENT,308
UTTARAKHAND,GADARPUR,ANAND VISHWAS,INDEPENDENT,174
UTTARAKHAND,GADARPUR,KAMLESH,INDEPENDENT,109
UTTARAKHAND,GADARPUR,NONE OF THE ABOVE,NONE OF THE ABOVE,758
UTTARAKHAND,BAJPUR,YASHPAL ARYA,BHARATIYA JANATA PARTY,54965
UTTARAKHAND,BAJPUR,SUNEETA TAMTA,INDIAN NATIONAL CONGRESS,42329
UTTARAKHAND,BAJPUR,RAMAVATAR,BAHUJAN SAMAJ PARTY,4511
UTTARAKHAND,BAJPUR,MANISHA,SAMAJWADI PARTY,651
UTTARAKHAND,BAJPUR,GAUTAM KUMAR,SHIVSENA,488
UTTARAKHAND,BAJPUR,MADAN SINGH,INDEPENDENT,340
UTTARAKHAND,BAJPUR,NONE OF THE ABOVE,NONE OF THE ABOVE,908
UTTARAKHAND,KASHIPUR,HARBHAJAN SINGH CHEEMA,BHARATIYA JANATA PARTY,50156
UTTARAKHAND,KASHIPUR,MANOJ JOSHI,INDIAN NATIONAL CONGRESS,30042
UTTARAKHAND,KASHIPUR,MOHD ASHRAF SIDDIQUI,BAHUJAN SAMAJ PARTY,15426
UTTARAKHAND,KASHIPUR,RAJEEV KUMAR AGARWAL,INDEPENDENT,7106
UTTARAKHAND,KASHIPUR,SHIV SINGH RAWAT,INDEPENDENT,416
UTTARAKHAND,KASHIPUR,MOHD. ANAS,RASHTRIYA LOK DAL,301
UTTARAKHAND,KASHIPUR,JAKIR,PEACE PARTY,214
UTTARAKHAND,KASHIPUR,SHIV KUMAR SINGH,UTTARAKHAND KRANTI DAL,208
UTTARAKHAND,KASHIPUR,GOHAR ALI,INDEPENDENT,198
UTTARAKHAND,KASHIPUR,SURENDRA CHAUDHARY,UTTARAKHAND KRANTI DAL (DEMOCRATIC),101
UTTARAKHAND,KASHIPUR,ASHOK KUMAR,INDEPENDENT,95
UTTARAKHAND,KASHIPUR,NONE OF THE ABOVE,NONE OF THE ABOVE,655
UTTARAKHAND,JASPUR,ADESH SINGH CHAUHAN,INDIAN NATIONAL CONGRESS,42551
UTTARAKHAND,JASPUR,DR. SHAILENDRA MOHAN SINGHAL,BHARATIYA JANATA PARTY,38347
UTTARAKHAND,JASPUR,MOHAMMAD UMAR,BAHUJAN SAMAJ PARTY,8666
UTTARAKHAND,JASPUR,KM. SEEMA CHAUHAN,INDEPENDENT,578
UTTARAKHAND,JASPUR,JAMEEL AHMAD MANSOORI,PEACE PARTY,337
UTTARAKHAND,JASPUR,SANJAY DUTT,INDEPENDENT,196
UTTARAKHAND,JASPUR,LALMAN SINGH,INDEPENDENT,144
UTTARAKHAND,JASPUR,MOHAMMAD AJMAL SIDDIQI,UTTARAKHAND KRANTI DAL (DEMOCRATIC),138
UTTARAKHAND,JASPUR,RAKESH KUMAR,INDEPENDENT,100
UTTARAKHAND,JASPUR,MAHENDER SINGH,SHIVSENA,97
UTTARAKHAND,JASPUR,NONE OF THE ABOVE,NONE OF THE ABOVE,644
UTTARAKHAND,RAMNAGAR,DIWAN SINGH BISHT,BHARATIYA JANATA PARTY,35839
UTTARAKHAND,RAMNAGAR,RANJEET RAWAT,INDIAN NATIONAL CONGRESS,27228
UTTARAKHAND,RAMNAGAR,RAJEEV AGARWAL,BAHUJAN SAMAJ PARTY,10766
UTTARAKHAND,RAMNAGAR,PRABHAT DHYANI,UTTARAKHAND PARIVARTAN PARTY,1229
UTTARAKHAND,RAMNAGAR,DHANESHWARI GHILDIYAL,INDEPENDENT,397
UTTARAKHAND,RAMNAGAR,VIJAY,INDEPENDENT,364
UTTARAKHAND,RAMNAGAR,VICHITRA SINGH,INDEPENDENT,318
UTTARAKHAND,RAMNAGAR,AKEEL,PEACE PARTY,216
UTTARAKHAND,RAMNAGAR,TANJEEM,INDEPENDENT,153
UTTARAKHAND,RAMNAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,887
UTTARAKHAND,KALADHUNGI,BANSIDHAR BHAGAT,BHARATIYA JANATA PARTY,45704
UTTARAKHAND,KALADHUNGI,PRAKASH JOSHI,INDIAN NATIONAL CONGRESS,25107
UTTARAKHAND,KALADHUNGI,MAHESH CHANDRA,INDEPENDENT,20214
UTTARAKHAND,KALADHUNGI,HARENDRA SINGH DARMWAL,INDEPENDENT,4294
UTTARAKHAND,KALADHUNGI,VARUN PRATAP SINGH BHAKUNI,BAHUJAN SAMAJ PARTY,2384
UTTARAKHAND,KALADHUNGI,MAHENDRA KUMAR CHAUDHARY,INDEPENDENT,1097
UTTARAKHAND,KALADHUNGI,DR. SURESH DALAKOTI,UTTARAKHAND KRANTI DAL,889
UTTARAKHAND,KALADHUNGI,SURENDRA SINGH NIGALTIYA,UTTARAKHAND PARIVARTAN PARTY,625
UTTARAKHAND,KALADHUNGI,SUMAN LATA,INDEPENDENT,367
UTTARAKHAND,KALADHUNGI,NONE OF THE ABOVE,NONE OF THE ABOVE,1119
UTTARAKHAND,HALDWANI,INDIRA HRIDAYESH,INDIAN NATIONAL CONGRESS,43786
UTTARAKHAND,HALDWANI,JOGENDRA PAL SINGH RAUTELA,BHARATIYA JANATA PARTY,37229
UTTARAKHAND,HALDWANI,SHOEB AHMED,SAMAJWADI PARTY,10337
UTTARAKHAND,HALDWANI,SHAKEEL AHMAD,BAHUJAN SAMAJ PARTY,1324
UTTARAKHAND,HALDWANI,BHUWAN CHANDRA JOSHI,UTTARAKHAND KRANTI DAL,268
UTTARAKHAND,HALDWANI,LALIT MOHAN JOSHI,SHIVSENA,226
UTTARAKHAND,HALDWANI,VINOD KUMAR SHARMA,INDEPENDENT,201
UTTARAKHAND,HALDWANI,TOFIK AHMAD,INDEPENDENT,156
UTTARAKHAND,HALDWANI,NONE OF THE ABOVE,NONE OF THE ABOVE,655
UTTARAKHAND,NAINITAL,SANJEEV ARYA,BHARATIYA JANATA PARTY,30036
UTTARAKHAND,NAINITAL,SARITA ARYA,INDIAN NATIONAL CONGRESS,22789
UTTARAKHAND,NAINITAL,HEM CHANDRA ARYA,INDEPENDENT,5505
UTTARAKHAND,NAINITAL,K.L ARYA,INDEPENDENT,1035
UTTARAKHAND,NAINITAL,SUNDER LAL ARYA,BAHUJAN SAMAJ PARTY,997
UTTARAKHAND,NAINITAL,NONE OF THE ABOVE,NONE OF THE ABOVE,899
UTTARAKHAND,BHIMTAL,RAM SINGH KAIRA,INDEPENDENT,18878
UTTARAKHAND,BHIMTAL,GOVIND SINGH BISHT,BHARATIYA JANATA PARTY,15432
UTTARAKHAND,BHIMTAL,DAN SINGH BHANDARI,INDIAN NATIONAL CONGRESS,14702
UTTARAKHAND,BHIMTAL,TARA DATT PANDEY,BAHUJAN SAMAJ PARTY,8444
UTTARAKHAND,BHIMTAL,GOVIND SINGH BISHT,INDEPENDENT,703
UTTARAKHAND,BHIMTAL,SUHAIL AHMAD,INDEPENDENT,614
UTTARAKHAND,BHIMTAL,KAMAL PATHAK,LOK SHAHI PARTY (SECULAR),460
UTTARAKHAND,BHIMTAL,KRISHNANAND KANDPAL,INDEPENDENT,402
UTTARAKHAND,BHIMTAL,AAN SINGH,INDEPENDENT,357
UTTARAKHAND,BHIMTAL,NAVEEN CHANDRA,UTTARAKHAND KRANTI DAL,275
UTTARAKHAND,BHIMTAL,NONE OF THE ABOVE,NONE OF THE ABOVE,963
UTTARAKHAND,LALKUWA,NAVEEN CHANDRA DUMKA,BHARATIYA JANATA PARTY,44293
UTTARAKHAND,LALKUWA,HARISH CHANDRA DURGAPAL,INDIAN NATIONAL CONGRESS,17185
UTTARAKHAND,LALKUWA,HARENDRA SINGH BORA,INDEPENDENT,14709
UTTARAKHAND,LALKUWA,RAJEEV MOHAN,BAHUJAN SAMAJ PARTY,964
UTTARAKHAND,LALKUWA,PURUSHOTTAM SHARMA,COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION),793
UTTARAKHAND,LALKUWA,VIRENDRA PURI MAHARAJ,INDEPENDENT,592
UTTARAKHAND,LALKUWA,CHANDAN SINGH RANA,SHIVSENA,407
UTTARAKHAND,LALKUWA,VIJAY JOSHI,INDEPENDENT,238
UTTARAKHAND,LALKUWA,DEEPA BHATT,UTTARAKHAND KRANTI DAL,224
UTTARAKHAND,LALKUWA,RAJENDER SINGH BISHT,INDEPENDENT,191
UTTARAKHAND,LALKUWA,NONE OF THE ABOVE,NONE OF THE ABOVE,1216
UTTARAKHAND,CHAMPAWAT,KAILASH CHANDRA GAHTORI,BHARATIYA JANATA PARTY,36601
UTTARAKHAND,CHAMPAWAT,HEMESH KHARKWAL,INDIAN NATIONAL CONGRESS,19241
UTTARAKHAND,CHAMPAWAT,TRILOK CHAND SORARI,UTTARAKHAND KRANTI DAL,939
UTTARAKHAND,CHAMPAWAT,DINESH CHANDRA,BAHUJAN SAMAJ PARTY,928
UTTARAKHAND,CHAMPAWAT,NONE OF THE ABOVE,NONE OF THE ABOVE,1044
UTTARAKHAND,LOHAGHAT,PURAN SINGH FARTYAL,BHARATIYA JANATA PARTY,26468
UTTARAKHAND,LOHAGHAT,KHUSHAL SINGH,INDIAN NATIONAL CONGRESS,26320
UTTARAKHAND,LOHAGHAT,JYOTI PRAKASH TAMTA,INDEPENDENT,710
UTTARAKHAND,LOHAGHAT,PRAKASH SINGH,INDEPENDENT,709
UTTARAKHAND,LOHAGHAT,DEVILAL SHARMA ALIAS RAJU,BAHUJAN SAMAJ PARTY,689
