STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
UTTARAKHAND,LOHAGHAT,RAJENDRA SINGH,INDEPENDENT,363
UTTARAKHAND,LOHAGHAT,NONE OF THE ABOVE,NONE OF THE ABOVE,1238
UTTARAKHAND,JAGESHWAR,GOVIND SINGH KUNJWAL,INDIAN NATIONAL CONGRESS,24132
UTTARAKHAND,JAGESHWAR,SUBHASH PANDEY,BHARATIYA JANATA PARTY,23733
UTTARAKHAND,JAGESHWAR,TARADATT PANDEY,BAHUJAN SAMAJ PARTY,1345
UTTARAKHAND,JAGESHWAR,MAHENDRA SINGH RAWAT,UTTARAKHAND KRANTI DAL,793
UTTARAKHAND,JAGESHWAR,NONE OF THE ABOVE,NONE OF THE ABOVE,896
UTTARAKHAND,ALMORA,RAGHUNATH SINGH CHAUHAN,BHARATIYA JANATA PARTY,26464
UTTARAKHAND,ALMORA,MANOJ TEWARI,INDIAN NATIONAL CONGRESS,21085
UTTARAKHAND,ALMORA,DR.SANJAY TAMTA,BAHUJAN SAMAJ PARTY,1654
UTTARAKHAND,ALMORA,VIRENDRA KUMAR,INDEPENDENT,517
UTTARAKHAND,ALMORA,MOHD HABIB,INDEPENDENT,514
UTTARAKHAND,ALMORA,DINESH PANDE,COMMUNIST PARTY OF INDIA (MARXIST),425
UTTARAKHAND,ALMORA,BHUWAN CHANDRA JOSHI,INDEPENDENT,219
UTTARAKHAND,ALMORA,REKHA DHASMANA,UTTARAKHAND PARIVARTAN PARTY,157
UTTARAKHAND,ALMORA,KUNDAN SINGH BISHT,UTTARAKHAND KRANTI DAL,130
UTTARAKHAND,ALMORA,PRAKASH CHANDRA BHATT,INDEPENDENT,106
UTTARAKHAND,ALMORA,JASWANT SINGH,SAMAJWADI PARTY,72
UTTARAKHAND,ALMORA,NONE OF THE ABOVE,NONE OF THE ABOVE,623
UTTARAKHAND,SOMESHWAR (S.C.),REKHA ARYA,BHARATIYA JANATA PARTY,21780
UTTARAKHAND,SOMESHWAR (S.C.),RAJENDRA BARAKOTI,INDIAN NATIONAL CONGRESS,21070
UTTARAKHAND,SOMESHWAR (S.C.),PRADEEP KUMAR ARYA,INDEPENDENT,841
UTTARAKHAND,SOMESHWAR (S.C.),HIMANSHU KOHLI,BAHUJAN SAMAJ PARTY,622
UTTARAKHAND,SOMESHWAR (S.C.),PURAN CHANDRA,INDEPENDENT,263
UTTARAKHAND,SOMESHWAR (S.C.),CHANDRA PRAKASH ARYA,INDEPENDENT,218
UTTARAKHAND,SOMESHWAR (S.C.),NONE OF THE ABOVE,NONE OF THE ABOVE,1089
UTTARAKHAND,RANIKHET,KARAN MAHARA,INDIAN NATIONAL CONGRESS,19035
UTTARAKHAND,RANIKHET,AJAY BHATT,BHARATIYA JANATA PARTY,14054
UTTARAKHAND,RANIKHET,PRAMOD NAINWAL,INDEPENDENT,5701
UTTARAKHAND,RANIKHET,KRIPAL RAM,BAHUJAN SAMAJ PARTY,1169
UTTARAKHAND,RANIKHET,PRATAP SINGH SHAHI,UTTARAKHAND KRANTI DAL,414
UTTARAKHAND,RANIKHET,NONE OF THE ABOVE,NONE OF THE ABOVE,637
UTTARAKHAND,SALT,SURENDER SINGH JEENA,BHARATIYA JANATA PARTY,21581
UTTARAKHAND,SALT,GANGA PANCHOLI,INDIAN NATIONAL CONGRESS,18677
UTTARAKHAND,SALT,BHUVAN JOSHI,INDEPENDENT,669
UTTARAKHAND,SALT,BHOLE SHANKAR,BAHUJAN SAMAJ PARTY,664
UTTARAKHAND,SALT,GANGA DEVI,UTTARAKHAND KRANTI DAL (DEMOCRATIC),459
UTTARAKHAND,SALT,NARAYAN SINGH,UTTARAKHAND PARIVARTAN PARTY,268
UTTARAKHAND,SALT,MAHIPAL SINGH,INDEPENDENT,262
UTTARAKHAND,SALT,RAKESH SINGH BISHT,UTTARAKHAND KRANTI DAL,187
UTTARAKHAND,SALT,BHAGAWAT SINGH,INDEPENDENT,184
UTTARAKHAND,SALT,KUBER SINGH MANRAL,INDEPENDENT,132
UTTARAKHAND,SALT,NONE OF THE ABOVE,NONE OF THE ABOVE,812
UTTARAKHAND,DWARAHAT,MAHESH SINGH NEGI,BHARATIYA JANATA PARTY,20221
UTTARAKHAND,DWARAHAT,MADAN SINGH BISHT,INDIAN NATIONAL CONGRESS,13628
UTTARAKHAND,DWARAHAT,PUSHPESH TRIPATHI,UTTARAKHAND KRANTI DAL,6581
UTTARAKHAND,DWARAHAT,KUBER SINGH KATHAYAT,INDEPENDENT,2126
UTTARAKHAND,DWARAHAT,BHUPAL SINGH ALIAS PAPPU BHANDARI,INDEPENDENT,1196
UTTARAKHAND,DWARAHAT,GIRISH CHAUDHARY,BAHUJAN SAMAJ PARTY,830
UTTARAKHAND,DWARAHAT,NANDAN GIRI,INDEPENDENT,776
UTTARAKHAND,DWARAHAT,KUNDAN SINGH RAWAT,BHARAT KI LOK JIMMEDAR PARTY,503
UTTARAKHAND,DWARAHAT,JAY PRAKASH KANDPAL,INDEPENDENT,342
UTTARAKHAND,DWARAHAT,NONE OF THE ABOVE,NONE OF THE ABOVE,597
UTTARAKHAND,BAGESHWAR,CHANDAN RAM DASS,BHARATIYA JANATA PARTY,33792
UTTARAKHAND,BAGESHWAR,BALKRISHAN,INDIAN NATIONAL CONGRESS,19225
UTTARAKHAND,BAGESHWAR,BASANT KUMAR,BAHUJAN SAMAJ PARTY,11038
UTTARAKHAND,BAGESHWAR,JEEVAN LAL,UTTARAKHAND KRANTI DAL,1207
UTTARAKHAND,BAGESHWAR,BACHI LAL,INDEPENDENT,676
UTTARAKHAND,BAGESHWAR,NONE OF THE ABOVE,NONE OF THE ABOVE,1541
UTTARAKHAND,KAPKOT,BALWANT SINGH BHOURIYAL,BHARATIYA JANATA PARTY,27213
UTTARAKHAND,KAPKOT,LALIT FARSWAN,INDIAN NATIONAL CONGRESS,21231
UTTARAKHAND,KAPKOT,BHOOPESH UPADHYAY,BAHUJAN SAMAJ PARTY,6964
UTTARAKHAND,KAPKOT,BHAGWAT SINGH DASILA,INDEPENDENT,1242
UTTARAKHAND,KAPKOT,RAM SINGH AITHANI,UTTARAKHAND KRANTI DAL,951
UTTARAKHAND,KAPKOT,DAYAL SINGH KAPKOTI,INDEPENDENT,641
UTTARAKHAND,KAPKOT,GOVIND LAL,INDEPENDENT,220
UTTARAKHAND,KAPKOT,KARAM SINGH DANU,INDEPENDENT,196
UTTARAKHAND,KAPKOT,NONE OF THE ABOVE,NONE OF THE ABOVE,1116
UTTARAKHAND,GANGOLIHAT,MEENA GANGOLA,BHARATIYA JANATA PARTY,20418
UTTARAKHAND,GANGOLIHAT,NARAYAN RAM ARYA,INDIAN NATIONAL CONGRESS,19613
UTTARAKHAND,GANGOLIHAT,KHAJAN CHANDRA,INDEPENDENT,10763
UTTARAKHAND,GANGOLIHAT,DINESH KUMAR,BAHUJAN SANGHARSHH DAL,958
UTTARAKHAND,GANGOLIHAT,SUMITRA DEVI,INDEPENDENT,841
UTTARAKHAND,GANGOLIHAT,DEEPAK KUMAR,BAHUJAN SAMAJ PARTY,668
UTTARAKHAND,GANGOLIHAT,HARISH PRASAD,UTTARAKHAND KRANTI DAL,550
UTTARAKHAND,GANGOLIHAT,NONE OF THE ABOVE,NONE OF THE ABOVE,865
UTTARAKHAND,PITHORAGARH,PRAKASH PANT,BHARATIYA JANATA PARTY,32941
UTTARAKHAND,PITHORAGARH,MAYUKH MAHAR,INDIAN NATIONAL CONGRESS,30257
UTTARAKHAND,PITHORAGARH,LALIT MOHAN BHATT,INDEPENDENT,613
UTTARAKHAND,PITHORAGARH,MAHENDRA SINGH,INDEPENDENT,529
UTTARAKHAND,PITHORAGARH,RAGHUVAR RAM,BAHUJAN SAMAJ PARTY,519
UTTARAKHAND,PITHORAGARH,SUSHMA MATHUR,UTTARAKHAND KRANTI DAL,304
UTTARAKHAND,PITHORAGARH,MANOJ KUMAR JOSHI,INDEPENDENT,126
UTTARAKHAND,PITHORAGARH,KRISHNANAND KAPRI,INDEPENDENT,111
UTTARAKHAND,PITHORAGARH,RAMESH BISHT,SAMAJWADI PARTY,108
UTTARAKHAND,PITHORAGARH,GULAJAR,INDEPENDENT,78
UTTARAKHAND,PITHORAGARH,NONE OF THE ABOVE,NONE OF THE ABOVE,1072
UTTARAKHAND,DIDIHAT,VISHAN SINGH,BHARATIYA JANATA PARTY,17392
UTTARAKHAND,DIDIHAT,KISHAN BHANDARI,INDEPENDENT,15024
UTTARAKHAND,DIDIHAT,PRADEEP SINGH PAL,INDIAN NATIONAL CONGRESS,14470
UTTARAKHAND,DIDIHAT,KASHI SINGH AIRY,UTTARAKHAND KRANTI DAL,2896
UTTARAKHAND,DIDIHAT,HAR GOVIND PANT,BAHUJAN SAMAJ PARTY,631
UTTARAKHAND,DIDIHAT,BIKRANT PANDAY,INDEPENDENT,520
UTTARAKHAND,DIDIHAT,NONE OF THE ABOVE,NONE OF THE ABOVE,737
UTTARAKHAND,DHARCHULA,HARISH SINGH,INDIAN NATIONAL CONGRESS,25597
UTTARAKHAND,DHARCHULA,VIRENDRA SINGH PAL,BHARATIYA JANATA PARTY,22512
UTTARAKHAND,DHARCHULA,DURGA PRASHAD,INDEPENDENT,2717
UTTARAKHAND,DHARCHULA,LAL SINGH,UTTARAKHAND KRANTI DAL,883
UTTARAKHAND,DHARCHULA,DEVINDRA SINGH,INDEPENDENT,631
UTTARAKHAND,DHARCHULA,VIRENDRA SINGH,INDEPENDENT,540
UTTARAKHAND,DHARCHULA,JITENDRA KUMAR,BAHUJAN SAMAJ PARTY,445
UTTARAKHAND,DHARCHULA,NONE OF THE ABOVE,NONE OF THE ABOVE,500
UTTARAKHAND,KOTDWAR,(DR) HARAK SINGH RAWAT,BHARATIYA JANATA PARTY,39859
UTTARAKHAND,KOTDWAR,SURENDRA SINGH NEGI,INDIAN NATIONAL CONGRESS,28541
UTTARAKHAND,KOTDWAR,RENU AGARWAL,BAHUJAN SAMAJ PARTY,764
UTTARAKHAND,KOTDWAR,(DR) DINESH,UTTARAKHAND PARIVARTAN PARTY,355
UTTARAKHAND,KOTDWAR,SUDHIR KUMAR BAHUGUNA,INDEPENDENT,267
UTTARAKHAND,KOTDWAR,SUDHA PATWAL,INDEPENDENT,266
UTTARAKHAND,KOTDWAR,HARISH CHANDER DWIVEDI,UTTARAKHAND KRANTI DAL,168
UTTARAKHAND,KOTDWAR,SHAMMI KAPOOR,INDEPENDENT,138
UTTARAKHAND,KOTDWAR,SHYAM LAL,INDEPENDENT,137
UTTARAKHAND,KOTDWAR,ANOOP THAPLIYAL,INDEPENDENT,68
UTTARAKHAND,KOTDWAR,MAHITAB SINGH RAWAT,INDEPENDENT,64
UTTARAKHAND,KOTDWAR,NONE OF THE ABOVE,NONE OF THE ABOVE,459
UTTARAKHAND,LANSDOWNE,DALEEP SINGH RAWAT,BHARATIYA JANATA PARTY,22246
UTTARAKHAND,LANSDOWNE,LT. GEN(RETD) TEJPAL SINGH RAWAT P.V.S.M V.S.M,INDIAN NATIONAL CONGRESS,15771
UTTARAKHAND,LANSDOWNE,VIKRAM SINGH RAWAT,UTTARAKHAND KRANTI DAL,450
UTTARAKHAND,LANSDOWNE,VED PRAKASH ARYA,INDEPENDENT,434
UTTARAKHAND,LANSDOWNE,JAGMOHAN SINGH BISHT,INDEPENDENT,226
UTTARAKHAND,LANSDOWNE,MANISH SUNDRIYAL,INDEPENDENT,164
UTTARAKHAND,LANSDOWNE,NONE OF THE ABOVE,NONE OF THE ABOVE,485
UTTARAKHAND,CHAUBATTAKHAL,SATPAL MAHARAJ,BHARATIYA JANATA PARTY,20921
UTTARAKHAND,CHAUBATTAKHAL,RAJPAL SINGH BISHT,INDIAN NATIONAL CONGRESS,13567
UTTARAKHAND,CHAUBATTAKHAL,SUNDER SINGH CHAUHAN,INDEPENDENT,2545
UTTARAKHAND,CHAUBATTAKHAL,KAVINDER ISTWAL,INDEPENDENT,2339
UTTARAKHAND,CHAUBATTAKHAL,SATENDRA SINGH,INDEPENDENT,965
UTTARAKHAND,CHAUBATTAKHAL,NANDAN SINGH RAWAT,INDEPENDENT,433
UTTARAKHAND,CHAUBATTAKHAL,RAMENDRA SINGH BHANDARI,INDEPENDENT,323
UTTARAKHAND,CHAUBATTAKHAL,ANU PANT,UTTARAKHAND KRANTI DAL (DEMOCRATIC),316
UTTARAKHAND,CHAUBATTAKHAL,MANJU RAWAT,INDEPENDENT,241
UTTARAKHAND,CHAUBATTAKHAL,POONAM KAINTURA,PRAJAMANDAL PARTY,212
UTTARAKHAND,CHAUBATTAKHAL,BHARTENDU,BAHUJAN SAMAJ PARTY,211
UTTARAKHAND,CHAUBATTAKHAL,SUBODH POKHRIYAL,UTTARAKHAND KRANTI DAL,196
UTTARAKHAND,CHAUBATTAKHAL,SUSHIL CHANDRA,RASHTRIYA ADARSH PARTY,162
UTTARAKHAND,CHAUBATTAKHAL,PREM SUNDRIYAL,UTTARAKHAND PARIVARTAN PARTY,121
UTTARAKHAND,CHAUBATTAKHAL,CHNDRA MOHAN MUNDEPI,SAMAJWADI PARTY,88
UTTARAKHAND,CHAUBATTAKHAL,NONE OF THE ABOVE,NONE OF THE ABOVE,210
UTTARAKHAND,SRINAGAR,DR. DHAN SINGH RAWAT,BHARATIYA JANATA PARTY,30816
UTTARAKHAND,SRINAGAR,GANESH GODIYAL,INDIAN NATIONAL CONGRESS,22118
UTTARAKHAND,SRINAGAR,MOHAN PRASAD KALA,INDEPENDENT,4854
UTTARAKHAND,SRINAGAR,NAVEEN PRAKASH NAUTIYAL,INDEPENDENT,608
UTTARAKHAND,SRINAGAR,GANESH PRASAD,BAHUJAN SAMAJ PARTY,532
UTTARAKHAND,SRINAGAR,DHIRENDRA SINGH BISHT,UTTARAKHAND KRANTI DAL,516
UTTARAKHAND,SRINAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,697
UTTARAKHAND,PAURI,MUKESH SINGH KOLI,BHARATIYA JANATA PARTY,26469
UTTARAKHAND,PAURI,NAVAL KISHOR,INDIAN NATIONAL CONGRESS,19439
UTTARAKHAND,PAURI,HARI KUMAR,INDEPENDENT,593
