Candidate,Party,Votes
SUNIL DUTTI,Indian National Congress,38308
ANIL JOSHI,Bharatiya Janata Party,31811
MANISH AGGARWAL,Aam Aadmi Party,7567
MANJIT SINGH,Bahujan Samaj Party,486
ROOP LAL,Independent,171
SUSHIL KUMAR,Akhil Bharatiya Sangharsh Dal,156
PARBODH CHANDER BALI,Independent,132
RAHUL KHOSLA,Hindustan Shakti Sena,128
BAL KRISHAN SHARMA,Independent,123
GAURAV MEHRA,Shiromani Lok Dal Party,120
MANISH SHRIDHAR,Aapna Punjab Party,109
SARABJIT SINGH,Independent,85
JEEWAN,Independent,47
None of the Above,None of the Above,658
